CVE_ENT,CVE_LOC,CVE_MUN,NOM_ENT,NOM_MUN,NOM_LOC,POBTOT,deci_lon,deci_lat
02,020013682,02001,Baja California,Ensenada,Parcela Número Uno (Ejido Nacionalista),16,-116.60217527777777,31.771773055555556
02,020013684,02001,Baja California,Ensenada,Parcela Número Tres (Santa María),17,-116.59772055555555,31.767486388888887
02,020013685,02001,Baja California,Ensenada,Carrillo (Parcela Cinco) [Rancho],10,-116.59330416666666,31.768521944444444
02,020013687,02001,Baja California,Ensenada,Parcela Tres (Ejido Nacionalista),19,-116.5890461111111,31.76767111111111
02,020013688,02001,Baja California,Ensenada,Parcela Número Seis (Ejido Nacionalista),8,-116.58745333333333,31.768156944444442
02,020013689,02001,Baja California,Ensenada,Parcela Siete (Ejido Nacionalista),10,-116.58401027777778,31.770471666666666
02,020013690,02001,Baja California,Ensenada,Parcela Siete (Ejido Nacionalista),8,-116.58862111111111,31.763029166666666
02,020013691,02001,Baja California,Ensenada,Parcela Ocho (Ejido Nacionalista),47,-116.58686083333333,31.763425555555557
02,020013692,02001,Baja California,Ensenada,Parcela Nueve (Ejido Nacionalista),95,-116.58010888888889,31.764283055555556
02,020013696,02001,Baja California,Ensenada,Parcela Número Trece (Ejido Nacionalista),25,-116.59722222222221,31.75027777777778
02,020013699,02001,Baja California,Ensenada,Parcela Quince (Ejido Nacionalista),15,-116.57790944444444,31.76167111111111
02,020013700,02001,Baja California,Ensenada,Parcela Dieciséis (Ejido Nacionalista),13,-116.57120916666666,31.76445861111111
02,020013706,02001,Baja California,Ensenada,Parcela Número Cuarenta y Tres (Ejido Nacionalista),15,-116.58706555555555,31.75478111111111
02,020013707,02001,Baja California,Ensenada,Parcela Ciento Veinte (Ejido Nacionalista),13,-116.58143722222222,31.754939722222222
02,020013708,02001,Baja California,Ensenada,Colonia Santa Isabel (Cañón San Carlos),332,-116.578065,31.75632138888889
02,020013711,02001,Baja California,Ensenada,Parcela Treinta y Dos (Ejido Nacionalista),53,-116.56896583333332,31.756732777777778
02,020013714,02001,Baja California,Ensenada,Parcela Treinta y Cuatro (Ejido Nacionalista),21,-116.5642286111111,31.757426666666667
02,020013717,02001,Baja California,Ensenada,Parcela Número Treinta y Seis (Triple A),32,-116.55913472222223,31.758795833333334
02,020013724,02001,Baja California,Ensenada,Parcela Número Cuarenta y Siete (Ejido Nacionalista),8,-116.57730833333333,31.754735555555555
02,020013725,02001,Baja California,Ensenada,Parcela Cuarenta y Ocho (Ejido Nacionalista),13,-116.57290555555555,31.755368611111113
02,020013726,02001,Baja California,Ensenada,Parcela Cuarenta y Nueve (Ejido Nacionalista),22,-116.56913333333333,31.75579861111111
02,020013727,02001,Baja California,Ensenada,Parcela Número Cincuenta (Ejido Nacionalista),52,-116.56495055555555,31.75627666666667
02,020013730,02001,Baja California,Ensenada,Parcela Número Cincuenta y Tres (Ejido Nacionalista),14,-116.55207222222222,31.756965555555556
02,020013732,02001,Baja California,Ensenada,Parcela Número Cincuenta y Siete (Familia Arce),80,-116.59671138888888,31.743323611111112
02,020013733,02001,Baja California,Ensenada,Parcela Número Cincuenta y Ocho (Ejido Nacionalista),17,-116.58831722222222,31.74508666666667
02,020013738,02001,Baja California,Ensenada,Parcela Número Sesenta y Cuatro (Ejido Nacionalista),291,-116.56063555555555,31.748701944444445
02,020013740,02001,Baja California,Ensenada,Parcela Número Sesenta y Seis (Ejido Nacionalista),20,-116.55681944444444,31.748524444444445
02,020013741,02001,Baja California,Ensenada,Parcela Número Sesenta y Siete (Las Palmas),14,-116.60395222222222,31.73531138888889
02,020013742,02001,Baja California,Ensenada,Parcela Número Setenta (Ejido Nacionalista),17,-116.58816138888888,31.74304638888889
02,020013744,02001,Baja California,Ensenada,Colonia Benito Juárez,303,-116.57455055555555,31.74210638888889
02,020013746,02001,Baja California,Ensenada,Don Loreto (Parcela Setenta y Siete) [Rancho],16,-116.56951527777777,31.744253333333333
02,020013747,02001,Baja California,Ensenada,Parcela Setenta y Ocho (Ejido Nacionalista),17,-116.56581722222222,31.745145
02,020013749,02001,Baja California,Ensenada,Alegre [Rancho],9,-116.59522027777777,31.73569416666667
02,020013751,02001,Baja California,Ensenada,Parcela Número Ochenta y Cinco (Ejido Nacionalista),25,-116.59836166666666,31.72914833333333
